"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-01","valid","matched","sift","2653.911261","needs_review","matched","","","554.806286","2414.90175","3208.717547","2414.90175"
"case-02","valid","matched","all_ai","1912.6406720000014","needs_review","matched","","","267.91042799999923","2718.6265630000007","2180.5511000000006","2718.6265630000007"
"case-03","valid","matched","sift","2328.4591290000008","needs_review","matched","","","318.71400600000015","2712.4459719999995","2647.173135000001","2712.4459719999995"
"case-04","valid","matched","all_ai","2097.2625389999994","needs_review","matched","","","332.7677820000026","5302.275147000002","2430.030321000002","5302.275147000002"
"case-05","valid","matched","sift","2445.822558","needs_review","matched","","","269.12684400000217","5934.347492000001","2714.949402000002","5934.347492000001"
"case-06","valid","matched","all_ai","2536.241768","needs_review","matched","","","323.7127879999971","3428.413034000001","2859.954555999997","3428.413034000001"
"case-07","valid","matched","sift","1860.4184679999962","needs_review","matched","","","222.08808099999442","2891.4873579999985","2082.5065489999906","2891.4873579999985"
"case-08","valid","matched","all_ai","4796.787704000002","needs_review","matched","","","330.483103999999","2813.2494159999987","5127.270808000001","2813.2494159999987"
"case-09","valid","matched","sift","1760.8222150000001","needs_review","matched","","","285.2009289999987","2687.875617000005","2046.0231439999989","2687.875617000005"
"case-10","valid","matched","all_ai","2034.6274209999974","needs_review","needs_review","","","327.7024500000043","4325.8771440000055","2362.3298710000017","4325.8771440000055"
"case-11","valid","matched","sift","1913.9707039999994","needs_review","matched","","","331.5829789999989","3535.0970820000075","2245.5536829999983","3535.0970820000075"
"case-12","valid","matched","all_ai","1828.4285130000062","needs_review","matched","","","284.0330719999911","2465.2244419999915","2112.4615849999973","2465.2244419999915"
"case-13","valid","matched","sift","2112.921215999988","needs_review","matched","","","333.6790020000044","2074.778201999987","2446.6002179999923","2074.778201999987"
"case-14","valid","matched","all_ai","2028.3821250000037","needs_review","matched","","","340.38788500000373","2220.6615840000013","2368.7700100000075","2220.6615840000013"
"case-15","valid","matched","sift","2227.4806779999926","needs_review","matched","","","375.61202500000945","2672.104951000001","2603.092703000002","2672.104951000001"
"case-16","valid","matched","all_ai","1960.013598999998","needs_review","matched","","","340.17941900000733","2903.232336000001","2300.1930180000054","2903.232336000001"
"case-17","valid","matched","sift","2168.725808999996","needs_review","matched","","","305.99489200000244","2336.7958389999985","2474.7207009999984","2336.7958389999985"
"case-18","valid","matched","all_ai","2282.0209999999934","needs_review","matched","","","424.45497100001376","2434.749251999994","2706.475971000007","2434.749251999994"
"case-19","valid","matched","sift","2431.9410579999967","needs_review","matched","","","314.2923310000042","2651.146968000001","2746.233389000001","2651.146968000001"
"case-20","valid","matched","all_ai","2447.9805149999884","needs_review","matched","","","336.8783410000033","2748.2994240000116","2784.8588559999916","2748.2994240000116"
"case-21","unfamiliar","matched","sift","2528.7067950000055","needs_review","needs_review","","","280.4108039999992","5404.079410999999","2809.1175990000047","5404.079410999999"
"case-22","unfamiliar","matched","all_ai","2915.3402500000084","needs_review","matched","","","296.0994999999966","3030.125872000004","3211.439750000005","3030.125872000004"
"case-23","unfamiliar","matched","sift","2086.7905699999974","needs_review","matched","","","279.03385200000776","6374.119015000004","2365.824422000005","6374.119015000004"
"case-24","unfamiliar","matched","all_ai","2445.8672400000214","needs_review","matched","","","383.72677999999723","2504.954028999986","2829.5940200000186","2504.954028999986"
"case-25","unfamiliar","matched","sift","2368.2655709999963","needs_review","matched","","","341.94803500000853","3221.886714000022","2710.213606000005","3221.886714000022"
"case-26","unfamiliar","matched","all_ai","2107.714310999989","needs_review","matched","","","348.1058150000172","2606.0904849999934","2455.820126000006","2606.0904849999934"
"case-27","unfamiliar","matched","sift","2058.5462389999884","needs_review","matched","","","300.9955889999983","2686.6931400000176","2359.5418279999867","2686.6931400000176"
"case-28","unfamiliar","matched","all_ai","2097.863273999974","needs_review","matched","","","330.68459099999745","3399.82172800001","2428.5478649999714","3399.82172800001"
"case-29","unfamiliar","matched","sift","2128.8166090000013","needs_review","matched","","","325.8560839999991","2943.0816840000043","2454.6726930000004","2943.0816840000043"
"case-30","unfamiliar","matched","all_ai","1805.888952999987","needs_review","matched","","","386.5017560000124","5327.574861000001","2192.3907089999993","5327.574861000001"
"case-31","violation","flagged","sift","1885.0752419999917","flagged","flagged","","","302.9096889999928","3331.1065169999783","2187.9849309999845","3331.1065169999783"
"case-32","violation","flagged","all_ai","1777.0521069999959","flagged","flagged","","","284.96848699997645","2668.0099939999927","2062.0205939999723","2668.0099939999927"
"case-33","violation","flagged","sift","1727.0598989999853","flagged","flagged","","","341.9211120000109","3334.8826880000124","2068.981010999996","3334.8826880000124"
"case-34","violation","flagged","all_ai","1821.4887159999926","flagged","flagged","","","384.0043130000122","2551.1364869999816","2205.4930290000048","2551.1364869999816"
"case-35","violation","flagged","sift","1838.5527980000188","flagged","flagged","","","364.5903389999876","8522.898952999996","2203.1431370000064","8522.898952999996"
"case-36","violation","flagged","all_ai","2505.214865999995","flagged","flagged","","","275.6698960000067","3867.29334199999","2780.8847620000015","3867.29334199999"
"case-37","violation","flagged","sift","2151.5230030000093","flagged","needs_review","","","350.8432979999925","4439.740813000011","2502.366301000002","4439.740813000011"
"case-38","violation","flagged","all_ai","2488.8790119999903","flagged","needs_review","","","319.9284779999871","2548.3135159999947","2808.8074899999774","2548.3135159999947"
"case-39","incomplete","needs_review","sift","1806.3176739999908","needs_review","needs_review","","","270.30766500000027","4046.6263749999925","2076.625338999991","4046.6263749999925"
