"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-01","valid","matched","sift","0","needs_review","matched","","","407.91574299999996","2854.7265890000003","407.91574299999996","2854.7265890000003"
"case-02","valid","matched","all_ai","0","needs_review","matched","","","361.6275679999999","2776.7400449999996","361.6275679999999","2776.7400449999996"
"case-03","valid","matched","sift","0","needs_review","matched","","","323.3525890000001","2452.148462","323.3525890000001","2452.148462"
"case-04","valid","matched","all_ai","0","needs_review","matched","","","478.00047900000027","2582.3538709999993","478.00047900000027","2582.3538709999993"
"case-05","valid","matched","sift","0","needs_review","matched","","","326.2824460000011","2852.417402000001","326.2824460000011","2852.417402000001"
"case-06","valid","matched","all_ai","0","needs_review","matched","","","312.25354199999856","2307.303147999999","312.25354199999856","2307.303147999999"
"case-07","valid","matched","sift","0","needs_review","matched","","","307.059451000001","2693.4967130000005","307.059451000001","2693.4967130000005"
"case-08","valid","matched","all_ai","0","needs_review","matched","","","303.23187600000165","3873.3826179999996","303.23187600000165","3873.3826179999996"
"case-09","valid","matched","sift","0","needs_review","matched","","","253.40458900000158","3128.620407999999","253.40458900000158","3128.620407999999"
"case-10","valid","matched","all_ai","0","needs_review","matched","","","340.8729280000007","2260.9437139999973","340.8729280000007","2260.9437139999973"
"case-11","valid","matched","sift","0","needs_review","matched","","","316.8515189999998","2786.527090000003","316.8515189999998","2786.527090000003"
"case-12","valid","matched","all_ai","0","needs_review","matched","","","462.10489300000336","2139.5200169999953","462.10489300000336","2139.5200169999953"
"case-13","valid","matched","sift","0","needs_review","matched","","","235.5562609999979","2404.3079789999974","235.5562609999979","2404.3079789999974"
"case-14","valid","matched","all_ai","0","needs_review","matched","","","286.813814000001","2032.4674000000014","286.813814000001","2032.4674000000014"
"case-15","valid","matched","sift","0","needs_review","matched","","","286.57254299999477","2103.5146319999985","286.57254299999477","2103.5146319999985"
"case-16","valid","matched","all_ai","0","needs_review","matched","","","327.08606999999756","2134.3807799999995","327.08606999999756","2134.3807799999995"
"case-17","valid","matched","sift","0","needs_review","matched","","","257.27026099999784","2480.5836960000015","257.27026099999784","2480.5836960000015"
"case-18","valid","matched","all_ai","0","needs_review","matched","","","301.29849500000273","2557.9853460000013","301.29849500000273","2557.9853460000013"
"case-19","valid","matched","sift","0","needs_review","matched","","","279.5467600000047","2128.128800999999","279.5467600000047","2128.128800999999"
"case-20","valid","matched","all_ai","0","needs_review","matched","","","381.3419270000013","2567.374552000001","381.3419270000013","2567.374552000001"
"case-21","unfamiliar","matched","sift","0","needs_review","matched","","","311.17406000000483","4279.507453999999","311.17406000000483","4279.507453999999"
"case-22","unfamiliar","matched","all_ai","0","needs_review","matched","","","468.69421899999725","3096.1450140000015","468.69421899999725","3096.1450140000015"
"case-23","unfamiliar","matched","sift","0","needs_review","matched","","","267.6747299999988","2672.182574999999","267.6747299999988","2672.182574999999"
"case-24","unfamiliar","matched","all_ai","0","needs_review","needs_review","","","377.6557199999952","5257.74669900001","377.6557199999952","5257.74669900001"
"case-25","unfamiliar","matched","sift","0","needs_review","matched","","","249.57775199999742","3002.3423769999936","249.57775199999742","3002.3423769999936"
"case-26","unfamiliar","matched","all_ai","0","needs_review","matched","","","246.1458180000045","2675.167484999998","246.1458180000045","2675.167484999998"
"case-27","unfamiliar","matched","sift","0","needs_review","matched","","","226.74151199999324","2604.0601090000127","226.74151199999324","2604.0601090000127"
"case-28","unfamiliar","matched","all_ai","0","needs_review","matched","","","286.81148100001155","2824.023807999998","286.81148100001155","2824.023807999998"
"case-29","unfamiliar","matched","sift","0","needs_review","matched","","","425.57709800000885","3224.6738750000077","425.57709800000885","3224.6738750000077"
"case-30","unfamiliar","matched","all_ai","0","needs_review","matched","","","296.5359769999923","2554.9679780000006","296.5359769999923","2554.9679780000006"
"case-31","violation","flagged","sift","0","flagged","flagged","","","286.7525939999905","2961.6443280000094","286.7525939999905","2961.6443280000094"
"case-32","violation","flagged","all_ai","0","flagged","flagged","","","270.011851999996","3166.9371640000027","270.011851999996","3166.9371640000027"
"case-33","violation","flagged","sift","0","flagged","flagged","","","269.1783579999901","3251.9290559999936","269.1783579999901","3251.9290559999936"
"case-34","violation","flagged","all_ai","0","flagged","flagged","","","304.47465300001204","3054.1486700000096","304.47465300001204","3054.1486700000096"
"case-35","violation","flagged","sift","0","flagged","flagged","","","357.653667999999","6061.194604999997","357.653667999999","6061.194604999997"
"case-36","violation","flagged","all_ai","0","flagged","flagged","","","352.1295269999973","3751.039791000003","352.1295269999973","3751.039791000003"
"case-37","violation","flagged","sift","0","flagged","needs_review","","","315.85465999999724","5248.860614000005","315.85465999999724","5248.860614000005"
"case-38","violation","flagged","all_ai","0","flagged","needs_review","","","370.8040510000137","3248.9144919999962","370.8040510000137","3248.9144919999962"
"case-39","incomplete","needs_review","sift","0","needs_review","needs_review","","","241.02968199999304","5448.203454000002","241.02968199999304","5448.203454000002"
"case-40","incomplete","needs_review","all_ai","0","needs_review","needs_review","","","361.5147449999931","3685.53627099999","361.5147449999931","3685.53627099999"
"case-41","incomplete","needs_review","sift","0","needs_review","needs_review","","","345.07762600001297","3237.9942730000184","345.07762600001297","3237.9942730000184"
"case-42","incomplete","needs_review","all_ai","0","needs_review","needs_review","","","254.33687299999292","4792.822432000015","254.33687299999292","4792.822432000015"
"case-43","incomplete","needs_review","sift","0","needs_review","needs_review","","","335.7910489999922","3272.9311210000014","335.7910489999922","3272.9311210000014"
"case-44","incomplete","needs_review","all_ai","0","needs_review","needs_review","","","330.8530679999967","7208.037292000023","330.8530679999967","7208.037292000023"
"case-45","duplicate","flagged","sift","0","flagged","flagged","","","283.65223700000206","2143.4240569999965","283.65223700000206","2143.4240569999965"
"case-46","duplicate","flagged","all_ai","0","flagged","flagged","","","483.6825620000018","1954.9857090000005","483.6825620000018","1954.9857090000005"
"case-47","duplicate","flagged","sift","0","flagged","flagged","","","273.90809300000547","3542.192281000025","273.90809300000547","3542.192281000025"
"case-48","duplicate","flagged","all_ai","0","flagged","flagged","","","421.69688000000315","2208.35390300001","421.69688000000315","2208.35390300001"
"case-49","duplicate","flagged","sift","0","flagged","flagged","","","342.35003799997503","6774.437491999997","342.35003799997503","6774.437491999997"
"case-50","duplicate","flagged","all_ai","0","flagged","flagged","","","342.7687309999892","2643.0724699999846","342.7687309999892","2643.0724699999846"
"case-51","adversarial","flagged","sift","0","needs_review","needs_review","","","468.72320799998124","3462.1292799999937","468.72320799998124","3462.1292799999937"
"case-52","adversarial","flagged","all_ai","0","needs_review","needs_review","","","430.17215999998734","8488.832051999983","430.17215999998734","8488.832051999983"
"case-53","adversarial","flagged","sift","0","needs_review","needs_review","","","271.01187799999025","4239.490586","271.01187799999025","4239.490586"
"case-54","adversarial","flagged","all_ai","0","needs_review","needs_review","","","336.965686999989","8641.310124999989","336.965686999989","8641.310124999989"
"case-55","adversarial","needs_review","sift","0","needs_review","needs_review","","","306.114407999994","5871.775396000012","306.114407999994","5871.775396000012"
"case-56","adversarial","flagged","all_ai","0","needs_review","flagged","","","278.81360699998913","4429.994024999993","278.81360699998913","4429.994024999993"
"case-57","adversarial","flagged","sift","0","flagged","flagged","","","299.9992050000001","6448.877311999997","299.9992050000001","6448.877311999997"
"case-58","adversarial","flagged","all_ai","0","flagged","matched","","","301.8926760000177","5977.487383","301.8926760000177","5977.487383"
"case-59","adversarial","flagged","sift","0","flagged","flagged","","","262.50539199999184","3516.421451000002","262.50539199999184","3516.421451000002"
"case-60","adversarial","flagged","all_ai","0","flagged","needs_review","","","345.9763389999862","3178.6060080000025","345.9763389999862","3178.6060080000025"
