"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-01","valid","matched","sift","2878.941541","matched","matched","","","511.63194299999986","2292.919499","3390.573484","2292.919499"
"case-02","valid","matched","all_ai","3192.1926189999995","needs_review","matched","","","332.0691189999998","2364.8558569999996","3524.2617379999992","2364.8558569999996"
"case-03","corroboration","needs_review","sift","3255.0401390000006","needs_review","matched","","","319.6459109999996","3469.373224000001","3574.6860500000003","3469.373224000001"
"case-04","corroboration","needs_review","all_ai","4197.451831999999","needs_review","matched","","","318.5431349999999","3261.245402999997","4515.994966999999","3261.245402999997"
"case-05","corroboration","needs_review","sift","2865.5159029999995","needs_review","matched","","","288.12957500000266","4718.268564000002","3153.645478000002","4718.268564000002"
"case-06","corroboration","needs_review","all_ai","2430.829252000003","needs_review","matched","","","304.3583429999999","3933.1634429999976","2735.187595000003","3933.1634429999976"
"case-07","incomplete","needs_review","sift","2977.429333","needs_review","needs_review","","","287.6005309999964","2785.260220999997","3265.0298639999965","2785.260220999997"
"case-08","incomplete","needs_review","all_ai","2837.714970000001","needs_review","needs_review","","","322.5092089999962","4905.192401","3160.224178999997","4905.192401"
"case-09","violation","flagged","sift","3270.1891570000007","flagged","matched","","","309.41017199999624","4492.966207999998","3579.599328999997","4492.966207999998"
"case-10","violation","flagged","all_ai","3313.520994999999","flagged","flagged","","","371.57822500000475","3263.0072859999927","3685.0992200000037","3263.0072859999927"
"case-11","valid","matched","sift","2683.7937269999966","matched","matched","","","270.2237610000011","5622.520781999992","2954.0174879999977","5622.520781999992"
"case-12","duplicate","flagged","all_ai","3155.4362319999927","flagged","flagged","","","296.0584109999909","2578.425801999998","3451.4946429999836","2578.425801999998"
"case-13","valid","matched","sift","2962.3778239999956","needs_review","matched","","","292.891174999997","4741.657875000004","3255.2689989999926","4741.657875000004"
"case-14","valid","matched","all_ai","3218.211857000002","matched","matched","","","392.31186499999603","3065.8275550000108","3610.523721999998","3065.8275550000108"
