"case_id","cohort","expected","first","extraction_ms","sift_assessment","ai_assessment","sift_error","ai_error","sift_decision_ms","ai_decision_ms","sift_e2e_ms","ai_e2e_ms"
"case-01","valid","matched","sift","2250.667958","matched","matched","","","469.73216699999966","1845.8594590000002","2720.4001249999997","1845.8594590000002"
"case-02","valid","matched","all_ai","2359.838917","matched","matched","","","778.1611659999999","2059.8482910000002","3138.000083","2059.8482910000002"
"case-03","valid","matched","sift","1808.7838339999998","matched","matched","","","273.8909169999988","2339.8465830000005","2082.6747509999987","2339.8465830000005"
"case-04","valid","matched","all_ai","1908.5957909999997","needs_review","matched","","","356.72237499999756","3128.1280000000024","2265.3181659999973","3128.1280000000024"
"case-05","valid","matched","sift","1689.4031250000007","matched","matched","","","225.70195800000147","2675.373791000002","1915.1050830000022","2675.373791000002"
"case-06","valid","matched","all_ai","1939.5245419999992","matched","matched","","","243.98162500000035","2516.368542","2183.5061669999996","2516.368542"
"case-07","valid","matched","sift","1829.175209000001","matched","matched","","","240.63304100000096","4890.092416999996","2069.808250000002","4890.092416999996"
"case-08","valid","matched","all_ai","1924.348208000003","matched","matched","","","343.4229999999952","2484.6703750000015","2267.7712079999983","2484.6703750000015"
"case-09","valid","matched","sift","2028.899040999997","matched","matched","","","201.8650839999973","2143.2712079999983","2230.7641249999942","2143.2712079999983"
"case-10","valid","matched","all_ai","1769.1757090000028","matched","matched","","","346.17729099999997","2001.0078330000033","2115.353000000003","2001.0078330000033"
"case-11","valid","matched","sift","1761.686416000004","matched","matched","","","362.5272920000061","2355.3386670000036","2124.2137080000102","2355.3386670000036"
"case-12","valid","matched","all_ai","1922.1937499999985","matched","matched","","","294.8863330000022","2802.1412500000006","2217.0800830000007","2802.1412500000006"
"case-13","valid","matched","sift","2026.387999999999","matched","matched","","","299.7920410000006","2660.8186669999996","2326.1800409999996","2660.8186669999996"
"case-14","valid","matched","all_ai","2098.5979579999985","matched","matched","","","525.851582999996","2347.520249999994","2624.4495409999945","2347.520249999994"
"case-15","valid","matched","sift","2616.524458999993","matched","matched","","","375.2580409999937","2332.7295830000076","2991.7824999999866","2332.7295830000076"
"case-16","valid","matched","all_ai","2730.8963749999966","matched","matched","","","389.15958300000057","2478.4316659999895","3120.055957999997","2478.4316659999895"
"case-17","valid","matched","sift","1866.3129999999946","matched","matched","","","322.32891699999163","2087.8372080000117","2188.6419169999863","2087.8372080000117"
"case-18","valid","matched","all_ai","3010.437459000008","matched","matched","","","373.91391699999804","4182.858542000002","3384.351376000006","4182.858542000002"
"case-19","valid","matched","sift","2017.0701249999984","matched","matched","","","187.83845799999835","2242.0667079999985","2204.9085829999967","2242.0667079999985"
"case-20","valid","matched","all_ai","2279.9316249999974","matched","matched","","","228.86650000000373","2568.1044590000092","2508.798125000001","2568.1044590000092"
